$	0m	0m	1m	1m	1m	2m	2m	2m
ATPG-MONOMER	1462.0000	1462.3333	1471.5238	1481.0000	1488.6667	1496.6818	1504.6667	1508.0909
ATPH-MONOMER	909.0000	911.9524	914.5714	917.3182	924.9048	931.3182	939.4762	944.3636
ATPPHOSRIBOSTRANS-MONOMER	895.0000	899.5714	908.0476	917.0000	923.0000	931.9091	935.0000	935.0000
B0070-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
B0260-MONOMER	72.0000	72.0000	72.0000	72.0000	72.0000	72.0000	73.4762	78.6364
B0270-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
B0427-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
B0486-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
B0511-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
B0612-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
B0709-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
B0752-MONOMER	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000
B0770-MONOMER	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
B0899-MONOMER	245.0000	249.0000	254.8095	256.5455	259.4286	261.5000	268.0952	274.1364
B1006-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
B1065-MONOMER	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000
B1296-MONOMER	113.0000	113.0000	113.0000	113.0000	113.0000	113.0000	113.0000	113.0000
B1433-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
B1543-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
B1596-MONOMER	98.0000	98.0000	98.0000	98.0000	98.0000	98.0000	98.0000	98.0000
B1599-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
B1600-MONOMER	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
B1634-MONOMER	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	18.3636
B1657-MONOMER	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000
B1690-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
B1691-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
B1775-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
B1791-MONOMER	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000
B1828-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
B2075-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
B2076-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
B2077-MONOMER	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000
B2098-MONOMER	35.0000	35.0000	35.0000	35.0000	35.0000	35.0000	35.0000	35.0000
B2170-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
B2246-MONOMER	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000
B2322-MONOMER	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000
B2372-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
B2740-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
B2771-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
B2775-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
B2789-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
B2845-MONOMER	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000
B2975-MONOMER	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000
B3659-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
B4141-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
BADH-MONOMER	138.0000	138.0000	138.0000	138.0000	138.0000	138.0000	138.0000	138.0000
BAER-MONOMER	89.0000	89.0000	89.0000	89.0000	89.0000	89.0000	89.0000	89.0000
BAES-MONOMER	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000
BARA-MONOMER	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000	43.0000
BASR-MONOMER	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
BASS-MONOMER	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BCCP-MONOMER	864.0000	862.7619	856.8571	873.0909	877.1905	878.0909	880.8095	891.3636
BCR-MONOMER	58.0000	58.0000	58.0000	58.0000	59.2857	60.0000	60.0000	60.0000
BETA-GLUCURONID-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
BETACOMP-MONOMER	464.0000	464.0000	464.8095	466.0455	473.1905	474.5455	476.8571	477.8182
BETAGALACTOSID-MONOMER	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
BETT-MONOMER	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000
BGLF-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
BIOTIN-CARBOXYL-MONOMER	2042.0000	2044.2381	2051.6190	2062.0455	2074.5714	2085.6364	2098.1905	2116.0000
BIOTIN-SYN-MONOMER	128.0000	133.6190	146.6190	161.6364	183.4286	205.3636	220.2381	230.5909
BIOTINLIG-MONOMER	99.0000	99.0000	99.0000	99.0000	99.0000	99.0000	99.0000	99.0000
BRANCHED-CHAINAMINOTRANSFER-MONOMER	771.0000	771.0000	771.0000	776.8636	792.4762	812.8636	835.1429	869.6818
BRNQ-MONOMER	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000
BTUC-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
BTUD-MONOMER	67.0000	68.3333	71.9048	73.5909	76.2381	78.3182	80.5714	81.6818
BTUE-MONOMER	152.0000	152.0000	151.0476	151.0000	150.1905	150.0000	150.0000	149.8182
CADB-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
CAIC-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
CAIE-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
CAIT-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
CARBODEHYDRAT-MONOMER	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000
CARBOXYL-TRANSFERASE-ALPHA-MONOMER	1139.0000	1143.8571	1158.5238	1174.7273	1192.0476	1206.3182	1222.0000	1234.4545
CARBOXYL-TRANSFERASE-BETA-MONOMER	1511.0000	1514.2381	1524.3333	1534.9545	1544.9524	1554.3182	1570.5714	1587.5909
CARBPSYN-LARGE	1680.0000	1680.0000	1680.0000	1680.0000	1684.5714	1695.1818	1703.7143	1711.2273
CARBPSYN-SMALL	1863.0000	1864.7619	1870.5238	1881.7273	1889.0000	1892.3182	1899.9524	1907.5909
CARDIOLIPSYN-MONOMER	130.0000	135.0952	144.6190	151.6364	154.0000	158.4545	159.0000	158.5000
CARNDEHYDRA-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
CARNRACE-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
CCMA-MONOMER	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000
CCMB-MONOMER	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000
CCMC-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
