gene	uniprot	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose
ribB	P0A7J0	370.8396110186156	1382.174610257216	2259.880174560274	230.6301716220066	351.49659381868867	449.10140084915787	630.7918144621095	465.4832066906465	265.2773763882869	151.50188574763672	174.37101279981587	98.13832755160206	242.28478477338754	253.07995449872402	391.55610160784335	264.8684716029966	422.7688208292771	332.32639007468447	239.73213229287703	264.0978601544452	223.33636578148082	278.5774182567224
glgA	P0A6U8	330.6624991581948	318.71427030667945	480.5341363561743	415.99253891511125	308.96698457853955	487.2677064198921	389.8618926652159	425.28918958816195	569.4124513927552	528.287371970892	492.62939749008376	511.7368823018021	258.4177637016778	316.816215533909	195.80498500587095	493.5393212372171	374.44443020656325	399.6486972879375	424.6341048921398	339.5908292785474	323.11567589991284	479.1665667134466
glpT	P08194	53.43501843262771	1044.88021796295	740.5848650472819	50.98887354076225	91.5632834021884	71.86675681281949	412.64935942467747	84.46213653240947	70.72232916540374	81.53553906846247	71.1639564942081	69.18396028833433	51.41463315631016	50.53174893598683	71.73561938594865	50.70032799830882	51.160565171583826	77.47371688116985	67.93252833940507	51.57143244641871	63.27841810513533	54.36109630989129
otsA	P31677	199.33120023988727	232.91658741072172	169.17485016600796	249.78908687330414	267.99220607553775	247.8344677869804	203.5778141304264	152.24979336005208	246.2059494231431	256.60607904812	294.6369884598158	340.30884541101466	192.89415905961488	197.19918724410414	323.9438279462905	319.5278249856044	271.63722765582247	103.08715778072737	240.12494209257713	187.72163610365652	127.62514998824945	187.89989137656727
dhaL	P76014	94.69692304617661	129.9569822122111	294.2020809519941	50.55909418469854	50.2102967398207	120.29052039054609	220.78963572891428	45.14399902293406	80.76486635481547	78.82138490096845	79.09156223464835	68.10049553477577	26.610982100350665	28.278401155675628	71.23519314898306	55.992456230076186	52.85947622032019	70.35943543317472	70.61649431253393	52.724562439536186	33.45975472100336	56.774618486397614
fruA	P20966	172.3994355031072	285.07749380306933	186.61917202899986	120.4488687628874	140.50485517651492	292.4294981577706	165.25684563960425	119.50194883512313	238.76353260830095	213.17971198473288	227.83490077375595	242.5890010432548	167.0532242841477	207.66986108239314	217.7585831657597	269.3799175622735	168.87265656667626	229.2948167951777	208.58115700447664	174.69944061349315	139.09915339017206	3364.1916263106204
gatB	P37188	6457.543833470519	30176.915787888054	29761.659382775106	38599.506994400515	24237.7281712181	20351.00339369925	17618.53754518975	13511.593284538743	41860.164105268406	66083.4309893304	45864.21457384109	34567.90627456944	2091.830770169025	1167.6617435994879	5257.413123156817	3555.373437034247	4332.985029186963	10396.008705212602	14873.453215965998	19450.64559422	25668.293836611854	12115.509106460624
gatA	P69828	5670.827117185988	21707.07394565694	18110.39364578318	22655.912053939493	15485.649951443578	12886.267523328344	13472.418260902796	12263.563240206486	17605.207944126658	19461.536062290364	13133.851158068828	10628.324503230537	532.3816938735429	325.5967916230635	3032.8501156216603	1546.1847671778758	3733.4154097127102	6293.382620897801	10253.274893018845	6862.325398211816	13359.949239893638	7968.702682809004
yiaO	P37676	9.540549924	8.645255402	NA	3.60762563	6.53089662	3.687100826	5.968192449	26.21229238	2.307219034	31.48668029	31.84640403	22.99629873	3.881133401	19.90167334	1.277174921	4.50045699	0.882365298	NA	NA	1.641851987	9.022384224	NA
cmk	P0A6I0	950.2258234579436	1807.8353831754107	884.7929139271827	534.7236776516143	612.7494344129269	649.0855630076367	721.7343807897128	660.8742397761971	561.7244428441842	463.6737961597665	450.0624637048615	476.4768503971664	654.8939939764094	557.2461030287375	1164.232453251331	1012.8689944563024	898.6876497757539	781.9068458713411	652.1058820937096	657.1940123266875	653.753231999418	722.9571134776662
